product_id,product_name,url
26,[라로슈포제] 시카플라스트 B5 멀티 리페어 크림 100ml (+시카 토너 50ml 증정)(마이뷰티박스 가입일 구매 시 +3%적립),https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/65142084-d958-46be-b715-6fd411c0961d.png
27,[동국제약] 센텔리안24 더 마데카크림 기획세트 (45ml*2개입+사셰 3개),https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/17cf92dd-1a72-436d-a8bb-df5e4b840f72.jpg
28,[동국제약] 센텔리안24 마데카크림 타임리버스(시즌7) 50ml,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/09952dfb-698c-4288-b75c-58db65cd5d81.jpg
29,[피지오겔] NEW 레드 수딩 AI 리페어 크림 100ml,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/77f9798c-195d-437b-aaec-26d2d7dd76b3.jpg
30,"[리더스] 사각 더마 패드 8종 (NEW 리필 4종 추가,택1)",https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/772659fe-2f84-41c0-ad26-292d88fdad8d.jpg?v=x0520
31,[마미케어] 들깨미백크림 대용량 80g (기미크림),https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/ccc0ccb9-a184-4f3e-9970-349b985d363b.jpg
32,"[구달] 청귤 비타C 잡티케어 세럼&크림 더블 기획세트 (세럼 30ml 2개, 크림 40ml 2개, 아이크림 15ml)",https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/c4817bff-3865-49bb-8899-a045f3fa6eaa.jpg
33,[마리엔메이] 비건 워시오프팩 5종 (택1),https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/5e7d9320-37de-4ec8-bc19-549b2b3ab3b5.jpg
34,[동국제약] 센텔리안24 마데카 스타톡세럼 듀오세트 (세럼 50ml*2ea + 아이크림 본품 15ml),https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/8f016319-4f32-45a4-9088-70780be8cdc2.jpg
35,[닥터에이지] 시카 히알루로닉 카밍 앰플35ml 1+1,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/c1064fbb-3352-475d-a927-ba5a926e79bc.jpg
36,[스킨푸드] 캐롯 카로틴 데일리 마스크 30매,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/99c9ef50-eef4-4400-8eb4-a87d88b4ac2c.jpg
37,[아리얼] 스트레스 릴리빙 립앤아이리무버패드 30매*3개입,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/cf62c07e-babb-47af-bf42-22840d8de917.jpg
38,[정샘물] 에센셜 물 마이크로 피팅 미스트(#화잘먹 미스트) 2종(택1),https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/7f5dc05a-1bca-45ac-9630-924cf702008d.jpg
39,[피토메르] 특별 기획 세트 (올리고포스세럼 30ml+멜팅크림 30ml+올리고 비타C세럼 15ml),https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/c79464bb-809a-4f49-b165-49b622d48be5.jpg
